OrthoRecord,Token,Normalized,Status,Comments
urn:cite:hmt:normalized.1,ϊκέσθαι,ἱκέσθαι,proposed,
urn:cite:hmt:normalized.2,άγει,ἄγει,proposed,
urn:cite:hmt:normalized.3,ἡλιου,ἡλίου,proposed,
urn:cite:hmt:normalized.4,δια,διά,proposed,
urn:cite:hmt:normalized.5,ἐνι,ἐνὶ,proposed,
urn:cite:hmt:normalized.6,ῆτορ,ἦτορ,proposed,
urn:cite:hmt:normalized.13,δ`᾽,δ᾽,proposed,
urn:cite:hmt:normalized.14,καταρῥέον,καταρρέον,proposed,
urn:cite:hmt:normalized.15,μελαν,μέλαν,proposed,
